Seat No,I.LAW,FC2,ENG2,ENG3,ECO2,ECO3,POL2,POL3,Total
14001,46,65,69,62,52,47,50,56,447
14002,28,50,62,61,40,42,42,47,372
14003,49,57,58,65,49,49,40,51,418
14004,45,34,41,40,53,41,17,2,273
14005,40,52,47,40,40,44,26,40,329
14006,45,52,65,60,43,40,45,43,393
14007,40,50,56,13,40,26,15,0,240
14008,53,61,71,68,44,49,45,40,431
14009,71,83,91,81,72,70,60,71,599
14010,46,57,64,53,42,40,29,40,371
14011,47,54,57,65,41,54,48,44,410
14012,25,51,42,40,40,40,30,40,308
14013,40,53,46,28,44,51,31,40,333
14014,40,46,40,40,43,40,24,40,313
14015,43,48,45,40,40,40,43,49,348
14016,40,51,41,47,40,25,23,40,307
14017,42,46,40,8,40,40,21,21,258
14018,40,34,47,40,43,40,25,40,309
14019,40,52,57,58,44,40,50,52,393
14020,61,65,66,61,61,63,61,72,510
14021,41,58,67,54,42,55,45,42,404
14022,64,62,74,64,52,50,52,62,480
14023,0,41,40,24,40,40,40,40,265
14024,57,63,76,60,54,53,48,67,478
14025,40,53,48,49,40,22,40,40,332
14026,52,33,52,40,26,43,25,40,311
14027,58,77,76,80,71,65,56,75,558
14028,51,62,61,52,54,49,52,47,428
14029,0,0,0,0,0,0,0,0,0
14030,4,48,55,42,40,21,13,24,247
14031,60,64,65,56,59,54,58,60,476
14032,60,58,64,56,50,41,52,58,439
14033,53,72,68,72,62,64,58,69,518
14034,40,50,40,24,40,22,20,0,236
14035,40,59,41,17,43,40,27,40,307
14036,48,62,60,54,45,49,40,43,401
14037,15,30,14,23,16,40,11,21,170
14038,45,54,21,40,41,42,40,40,323
14039,46,52,61,50,46,50,40,50,395
14040,40,46,40,41,40,44,28,40,319
14041,40,32,22,40,40,40,40,40,294
14042,70,70,66,73,73,64,61,71,548
14043,71,55,69,73,68,79,65,77,557
14044,40,45,13,10,18,40,6,7,179
14045,44,53,41,40,48,45,40,40,351
14046,54,50,61,41,40,44,40,40,370
14047,70,60,64,56,78,82,56,72,538
14048,57,67,63,68,50,69,49,58,481
14049,40,53,59,50,40,44,41,40,367
14050,62,25,18,49,47,56,46,5,308
14051,73,75,64,69,77,80,57,77,572
14052,14,46,9,16,6,0,23,11,125
14053,75,81,62,73,74,78,60,84,587
14054,64,46,66,59,46,58,49,51,439
14055,48,56,42,40,40,42,27,40,335
14056,40,46,24,40,40,40,19,40,289
14057,63,55,74,64,51,55,53,52,467
14058,78,76,75,66,78,71,58,79,581
14059,40,61,59,55,40,40,22,40,357
14060,19,52,56,43,40,26,15,20,271
14061,84,77,78,77,83,83,67,76,625
14062,40,49,51,40,40,45,26,40,331
14063,53,59,64,49,44,66,40,44,419
14064,50,56,61,53,49,51,42,41,403
14065,45,62,0,60,42,40,40,43,332
14066,22,50,43,40,45,12,22,40,274
14067,18,49,29,40,8,14,21,17,196
14068,53,58,62,58,59,62,48,57,457
14069,56,64,61,51,40,46,40,40,398
14070,51,28,19,43,40,60,49,24,314
14071,61,56,66,56,40,51,51,46,427
14072,56,58,67,69,47,60,55,66,478
14073,84,83,74,67,60,73,64,81,586
14074,70,62,67,62,23,60,49,45,438
14075,44,49,40,57,15,40,23,8,276
14076,50,53,45,47,50,48,47,57,397
14077,75,70,65,59,51,63,58,78,519
14078,50,57,61,61,43,64,43,63,442
14079,85,64,64,70,77,80,68,85,593
14080,65,59,47,54,52,62,58,63,460
14081,61,52,61,43,50,70,55,53,445
14082,88,78,77,76,79,80,66,81,625
14083,46,55,69,56,24,50,42,40,382
14084,54,57,55,54,40,40,40,40,380
14085,42,60,53,41,40,60,28,40,364
14086,84,65,52,45,73,70,52,68,509
14087,54,47,60,53,40,64,52,63,433
14088,61,48,59,51,22,54,54,49,398
14089,67,75,61,69,71,62,62,75,542
14090,40,50,27,40,13,21,16,40,247
14091,71,71,65,66,60,70,49,64,516
14092,70,70,68,61,0,0,58,0,327
14093,0,54,49,51,28,24,27,40,273
14094,82,57,64,67,72,70,63,66,541
14095,62,51,61,57,66,64,55,69,485
14096,54,67,63,55,51,54,40,55,439
14097,50,52,64,50,25,47,46,45,379
14098,54,74,69,61,47,55,52,55,467
14099,49,66,52,58,21,41,44,42,373
14100,14,49,0,41,11,24,40,46,225
14101,78,67,79,76,72,72,67,74,585
14102,73,66,68,68,49,60,51,63,498
14103,40,47,50,40,28,40,41,40,326
14104,44,58,63,55,40,44,40,0,344
14105,50,64,57,49,46,55,57,49,427
14106,17,22,40,25,21,23,28,20,196
14107,52,61,58,60,52,71,58,55,467
14108,40,58,46,50,20,25,40,45,324
14109,42,68,54,58,25,41,41,42,371
14110,40,52,26,41,15,40,0,23,237
14111,40,55,48,44,40,57,40,48,372
14112,40,51,40,40,40,50,40,42,343
14113,46,52,54,53,40,43,46,40,374
14114,46,55,40,59,40,0,40,40,320
14115,40,55,55,59,44,40,42,46,381
14116,63,47,59,53,55,60,57,48,442
14117,24,49,40,47,40,40,44,40,324
14118,40,48,49,40,40,40,40,42,339
14119,67,62,58,61,47,62,58,67,482
14120,80,87,78,74,62,77,68,80,606
14121,40,52,55,42,40,41,40,40,350
14122,53,68,52,60,49,40,51,53,426
14123,42,48,47,54,18,56,59,60,384
14124,52,63,62,61,40,62,51,63,454
14125,52,73,66,56,46,55,52,61,461
14126,49,73,60,68,40,44,43,61,438
14127,56,63,69,67,51,64,51,67,488
14128,65,50,67,54,40,40,55,41,412
14129,40,56,63,67,47,50,40,40,403
14130,13,49,66,57,44,59,40,52,380
